YEAR,STATE,RATE,DEATHS
2020,AL,16.4,1035
2020,AK,9.7,65
2020,AZ,4.5,426
2020,AR,12.7,491
2020,CA,3.8,1731
2020,CO,6.8,440
2020,CT,10.9,552
2020,DE,7.3,100
2020,FL,7.9,2616
2020,GA,15.6,1841
2020,HI,6.8,129
2020,ID,5.1,109
2020,IL,10.7,1696
2020,IN,13.3,1104
2020,IA,8.5,367
2020,KS,8.8,318
2020,KY,17.2,951
2020,LA,19.9,1112
2020,ME,3.2,60
2020,MD,12.4,922
2020,MA,9.7,886
2020,MI,9.8,1291
2020,MN,6.6,471
2020,MS,10.8,387
2020,MO,11.9,951
2020,MT,7.1,102
2020,NE,6.9,164
2020,NV,5.6,210
2020,NH,7.6,145
2020,NJ,17.7,2061
2020,NM,9.4,245
2020,NY,7.5,1896
2020,NC,12.2,1605
2020,ND,9.8,92
2020,OH,13.3,2046
2020,OK,9.6,460
2020,OR,4.8,268
2020,PA,12.6,2277
2020,RI,6.1,88
2020,SC,14.2,968
2020,SD,9.9,106
2020,TN,10.4,883
2020,TX,11.6,3413
2020,UT,7.8,222
2020,VT,5.3,48
2020,VA,9.5,986
2020,WA,7,630
2020,WV,13.8,343
2020,WI,8.1,627
2020,WY,4.8,36
